Site Name,Site Address,Site City,Site Telephone Number,Site Web Address,County Equivalent Name,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,lon,lat,popup
Temporary Site-Healthcare for the Homeless,20 Portland St,Portland,207-805-3886,NA,Cumberland,-70.2621672,43.65843744,-70.2621672,43.65843744,"<b> Temporary Site-Healthcare for the Homeless </b> <br> Address:  20 Portland St ,  Portland ,  Cumberland  County <br> Phone Number:  207-805-3886 <br> Website:  NA"
HAN FAMILY DENTAL,9 Main St,Lincoln,207-794-6700,www.hanfqhc.org,Penobscot,-68.50439519,45.36251951,-68.50439519,45.36251951,"<b> HAN FAMILY DENTAL </b> <br> Address:  9 Main St ,  Lincoln ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
TREATS FALLS HOUSE,2 Hillside Rd,Orono,207-866-3769,NA,Penobscot,-68.65900232,44.88830814,-68.65900232,44.88830814,"<b> TREATS FALLS HOUSE </b> <br> Address:  2 Hillside Rd ,  Orono ,  Penobscot  County <br> Phone Number:  207-866-3769 <br> Website:  NA"
CCS Second Street Health Center,60 Second St,Auburn,207-755-3456,www.communityclinicalservices.com,Androscoggin,-70.22119939,44.08707418,-70.22119939,44.08707418,"<b> CCS Second Street Health Center </b> <br> Address:  60 Second St ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-755-3456 <br> Website:  www.communityclinicalservices.com"
Pines ST. JOHN VALLEY HEALTH CENTER,4 Main St,Van Buren,207-868-2796,www.pineshealthservices.org,Aroostook,-67.92764573,47.15167366,-67.92764573,47.15167366,"<b> Pines ST. JOHN VALLEY HEALTH CENTER </b> <br> Address:  4 Main St ,  Van Buren ,  Aroostook  County <br> Phone Number:  207-868-2796 <br> Website:  www.pineshealthservices.org"
Lewiston High School-Based Health Center,156 East Ave,Lewiston,207-795-4144,www.communityclinicalservices.com,Androscoggin,-70.20192445,44.09318027,-70.20192445,44.09318027,"<b> Lewiston High School-Based Health Center </b> <br> Address:  156 East Ave ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-795-4144 <br> Website:  www.communityclinicalservices.com"
Greater Portland Health at Deering High School,370 Stevens Ave,Portland,207-874-8260,NA,Cumberland,-70.29630317,43.67154041,-70.29630317,43.67154041,"<b> Greater Portland Health at Deering High School </b> <br> Address:  370 Stevens Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8260 <br> Website:  NA"
ST. CROIX REGIONAL FAMILY HEALTH CENTER,136 Mill St,Princeton,207-796-5503,scrfhc.org,Washington,-67.56347366,45.23038999,-67.56347366,45.23038999,"<b> ST. CROIX REGIONAL FAMILY HEALTH CENTER </b> <br> Address:  136 Mill St ,  Princeton ,  Washington  County <br> Phone Number:  207-796-5503 <br> Website:  scrfhc.org"
Jewett School,66 Bridge St,Bucksport,207-469-6644,NA,Hancock,-68.78688016,44.57598699,-68.78688016,44.57598699,"<b> Jewett School </b> <br> Address:  66 Bridge St ,  Bucksport ,  Hancock  County <br> Phone Number:  207-469-6644 <br> Website:  NA"
Eastport Health Care Machias,53 Fremont St,Machias,207-255-0247,http://www.eastporthealth.org,Washington,-67.46144713,44.70989933,-67.46144713,44.70989933,"<b> Eastport Health Care Machias </b> <br> Address:  53 Fremont St ,  Machias ,  Washington  County <br> Phone Number:  207-255-0247 <br> Website:  http://www.eastporthealth.org"
PCHC Main Lab,992 Union St Ste J,Bangor,207-992-2336,NA,Penobscot,-68.80715883,44.81553855,-68.80715883,44.81553855,"<b> PCHC Main Lab </b> <br> Address:  992 Union St Ste J ,  Bangor ,  Penobscot  County <br> Phone Number:  207-992-2336 <br> Website:  NA"
MERCY HOME,3388 Aroostook Rd,Eagle Lake,207-444-5152,N/A,Aroostook,-68.59580998,47.03619371,-68.59580998,47.03619371,"<b> MERCY HOME </b> <br> Address:  3388 Aroostook Rd ,  Eagle Lake ,  Aroostook  County <br> Phone Number:  207-444-5152 <br> Website:  N/A"
MIGRANT VOUCHER & MOBILE MEDICAL VAN DOWNEAST REG.,9 Green St,Augusta,207-622-9252,www.mainemigrant.org,Kennebec,-69.77644094,44.31281438,-69.77644094,44.31281438,"<b> MIGRANT VOUCHER & MOBILE MEDICAL VAN DOWNEAST REG. </b> <br> Address:  9 Green St ,  Augusta ,  Kennebec  County <br> Phone Number:  207-622-9252 <br> Website:  www.mainemigrant.org"
VINALHAVEN ELDERCARE SERVICES,17 Beaver Dam Rd,Vinalhaven,207-863-9980,none,Knox,-68.82529681,44.04999128,-68.82529681,44.04999128,"<b> VINALHAVEN ELDERCARE SERVICES </b> <br> Address:  17 Beaver Dam Rd ,  Vinalhaven ,  Knox  County <br> Phone Number:  207-863-9980 <br> Website:  none"
CCS Behavioral at SMMA,99 Campus Ave STE 201,Lewiston,207-777-8810,http://www.stmarysmaine.com/Our-Providers/st-marys-medical-associates.html,Androscoggin,-70.1983841,44.10127991,-70.1983841,44.10127991,"<b> CCS Behavioral at SMMA </b> <br> Address:  99 Campus Ave STE 201 ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-777-8810 <br> Website:  http://www.stmarysmaine.com/Our-Providers/st-marys-medical-associates.html"
CCS Behavioral at AMA,2 Great Falls Plz STE 21,Auburn,207-330-3950,http://www.stmarysmaine.com/Our-Providers/auburn-medical-associates.html,Androscoggin,-70.22601522,44.09871853,-70.22601522,44.09871853,"<b> CCS Behavioral at AMA </b> <br> Address:  2 Great Falls Plz STE 21 ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-330-3950 <br> Website:  http://www.stmarysmaine.com/Our-Providers/auburn-medical-associates.html"
Hope House,181 Corporate Dr,Bangor,207-992-2636,NA,Penobscot,-68.80581756,44.80451333,-68.80581756,44.80451333,"<b> Hope House </b> <br> Address:  181 Corporate Dr ,  Bangor ,  Penobscot  County <br> Phone Number:  207-992-2636 <br> Website:  NA"
HealthReach Community Health Centers,10 Water St STE 305,Waterville,207-872-5610,www.healthreachchc.org,Kennebec,-69.62954608,44.5461622,-69.62954608,44.5461622,"<b> HealthReach Community Health Centers </b> <br> Address:  10 Water St STE 305 ,  Waterville ,  Kennebec  County <br> Phone Number:  207-872-5610 <br> Website:  www.healthreachchc.org"
Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,207-368-5189,www.hhcme.org,Penobscot,-69.28172199,44.84183413,-69.28172199,44.84183413,"<b> Sebasticook Family Doctors </b> <br> Address:  118 Moosehead Trl STE 5 ,  Newport ,  Penobscot  County <br> Phone Number:  207-368-5189 <br> Website:  www.hhcme.org"
Greater Portland Health at Casco Bay High School,196 Allen Ave,Portland,207-874-8160,NA,Cumberland,-70.29394249,43.6973363,-70.29394249,43.6973363,"<b> Greater Portland Health at Casco Bay High School </b> <br> Address:  196 Allen Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8160 <br> Website:  NA"
KVHC Houlton Elementary School,60 South St,Houlton,207-538-3700,www.kvhc.org,Aroostook,-67.84501492,46.11126733,-67.84501492,46.11126733,"<b> KVHC Houlton Elementary School </b> <br> Address:  60 South St ,  Houlton ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
PINES Caribou Health Center,74 Access Hwy,Caribou,207-498-2356,www.pineshealthservices.org,Aroostook,-67.99254429,46.87401419,-67.99254429,46.87401419,"<b> PINES Caribou Health Center </b> <br> Address:  74 Access Hwy ,  Caribou ,  Aroostook  County <br> Phone Number:  207-498-2356 <br> Website:  www.pineshealthservices.org"
PENOBSCOT COMMUNITY HLTH CENTER,1012 Union St,Bangor,207-945-5247,NA,Penobscot,-68.80883731,44.81480346,-68.80883731,44.81480346,"<b> PENOBSCOT COMMUNITY HLTH CENTER </b> <br> Address:  1012 Union St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  NA"
ROSS MANOR,758 Broadway,Bangor,207-941-8400,NA,Penobscot,-68.78261821,44.82683681,-68.78261821,44.82683681,"<b> ROSS MANOR </b> <br> Address:  758 Broadway ,  Bangor ,  Penobscot  County <br> Phone Number:  207-941-8400 <br> Website:  NA"
Nasson Health Care - Biddeford,357 Elm St,Biddeford,207-490-6900,NA,York,-70.46881783,43.48534363,-70.46881783,43.48534363,"<b> Nasson Health Care - Biddeford </b> <br> Address:  357 Elm St ,  Biddeford ,  York  County <br> Phone Number:  207-490-6900 <br> Website:  NA"
SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,207-625-8126,www.svhc.org,Oxford,-70.88573042,43.81056491,-70.88573042,43.81056491,"<b> SACOPEE VALLEY HEALTH CENTER </b> <br> Address:  70 Main St ,  Porter ,  Oxford  County <br> Phone Number:  207-625-8126 <br> Website:  www.svhc.org"
CCS Behavioral at Poland,1230 Maine St RM A,Poland,207-998-4483,http://www.stmarysmaine.com/Our-Providers/poland-family-practice.html,Androscoggin,-70.39538146,44.06293568,-70.39538146,44.06293568,"<b> CCS Behavioral at Poland </b> <br> Address:  1230 Maine St RM A ,  Poland ,  Androscoggin  County <br> Phone Number:  207-998-4483 <br> Website:  http://www.stmarysmaine.com/Our-Providers/poland-family-practice.html"
SCHOOL HEALTH CLINIC AT LUBEC,44 South St,Lubec,207-733-2432,www.rmcl.org,Washington,-66.98824209,44.85514317,-66.98824209,44.85514317,"<b> SCHOOL HEALTH CLINIC AT LUBEC </b> <br> Address:  44 South St ,  Lubec ,  Washington  County <br> Phone Number:  207-733-2432 <br> Website:  www.rmcl.org"
Portland Community Health Center,180 Park Ave,Portland,207-874-2141,www.portlandcommunityhealthcenter.org,Cumberland,-70.27427235,43.65598175,-70.27427235,43.65598175,"<b> Portland Community Health Center </b> <br> Address:  180 Park Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  www.portlandcommunityhealthcenter.org"
Lawrence High School Health Center,9 School St,Fairfield,207-861-9666,NA,Somerset,-69.60521727,44.58920013,-69.60521727,44.58920013,"<b> Lawrence High School Health Center </b> <br> Address:  9 School St ,  Fairfield ,  Somerset  County <br> Phone Number:  207-861-9666 <br> Website:  NA"
KVHC Brownville Elementary School,744 Main Rd,Brownville,207-538-3700,www.kvhc.org,Piscataquis,-69.04001726,45.32208959,-69.04001726,45.32208959,"<b> KVHC Brownville Elementary School </b> <br> Address:  744 Main Rd ,  Brownville ,  Piscataquis  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
ISLANDS COMMUNITY MEDICAL SERVICES,15 Medical Center Loop,Vinalhaven,207-863-4341,www.vinalhaven.org/islands 201835,Knox,-68.83067971,44.04648251,-68.83067971,44.04648251,"<b> ISLANDS COMMUNITY MEDICAL SERVICES </b> <br> Address:  15 Medical Center Loop ,  Vinalhaven ,  Knox  County <br> Phone Number:  207-863-4341 <br> Website:  www.vinalhaven.org/islands 201835"
WESTGATE MANOR NURSING HOMES,750 Union St,Bangor,207-942-7336,NA,Penobscot,-68.79768787,44.81094644,-68.79768787,44.81094644,"<b> WESTGATE MANOR NURSING HOMES </b> <br> Address:  750 Union St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-942-7336 <br> Website:  NA"
Greater Portland Health at Presumpscot Elementary School,69 Presumpscot St,Portland,207-874-8220,NA,Cumberland,-70.2603578,43.68446584,-70.2603578,43.68446584,"<b> Greater Portland Health at Presumpscot Elementary School </b> <br> Address:  69 Presumpscot St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8220 <br> Website:  NA"
BUCKSPORT REGIONAL HEALTH CENTER,110 Broadway,Bucksport,207-469-7371,www.brhc.info,Hancock,-68.78036155,44.57621091,-68.78036155,44.57621091,"<b> BUCKSPORT REGIONAL HEALTH CENTER </b> <br> Address:  110 Broadway ,  Bucksport ,  Hancock  County <br> Phone Number:  207-469-7371 <br> Website:  www.brhc.info"
HARRINGTON FAMILY HEALTH CENTER,50 E Main St,Harrington,207-483-4502,http://www.harringtonfamilyhealth.org,Washington,-67.79620886,44.6219999,-67.79620886,44.6219999,"<b> HARRINGTON FAMILY HEALTH CENTER </b> <br> Address:  50 E Main St ,  Harrington ,  Washington  County <br> Phone Number:  207-483-4502 <br> Website:  http://www.harringtonfamilyhealth.org"
BETHEL FAMILY HEALTH CENTER,32 Railroad St,Bethel,207-824-2193,www.healthreachchc.org,Oxford,-70.79123528,44.4102242,-70.79123528,44.4102242,"<b> BETHEL FAMILY HEALTH CENTER </b> <br> Address:  32 Railroad St ,  Bethel ,  Oxford  County <br> Phone Number:  207-824-2193 <br> Website:  www.healthreachchc.org"
Community Care and Geriatrics,992 Union St,Bangor,207-945-5247,NA,Penobscot,-68.80715883,44.81553855,-68.80715883,44.81553855,"<b> Community Care and Geriatrics </b> <br> Address:  992 Union St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  NA"
Sacopee Valley Health Center,49 Summer St,Porter,207-625-8126,www.svhc.org,Oxford,-70.88724755,43.81099302,-70.88724755,43.81099302,"<b> Sacopee Valley Health Center </b> <br> Address:  49 Summer St ,  Porter ,  Oxford  County <br> Phone Number:  207-625-8126 <br> Website:  www.svhc.org"
Blueberry Harvest School,39 Washington St,Milbridge,207-546-2210,mainemobile.org,Washington,-67.88641758,44.53676257,-67.88641758,44.53676257,"<b> Blueberry Harvest School </b> <br> Address:  39 Washington St ,  Milbridge ,  Washington  County <br> Phone Number:  207-546-2210 <br> Website:  mainemobile.org"
School-Based Health Center-Frenchville,443 US Route 1,Frenchville,207-834-3971,NA,Aroostook,-68.42880289,47.27983936,-68.42880289,47.27983936,"<b> School-Based Health Center-Frenchville </b> <br> Address:  443 US Route 1 ,  Frenchville ,  Aroostook  County <br> Phone Number:  207-834-3971 <br> Website:  NA"
FOREST HILL MANOR,25 Bolduc Ave,Fort Kent,207-834-3915,N/A,Aroostook,-68.58883833,47.26431148,-68.58883833,47.26431148,"<b> FOREST HILL MANOR </b> <br> Address:  25 Bolduc Ave ,  Fort Kent ,  Aroostook  County <br> Phone Number:  207-834-3915 <br> Website:  N/A"
ALPHA Program - Brewer High School,261 Center St,Brewer,207-992-2456,NA,Penobscot,-68.75910228,44.79198775,-68.75910228,44.79198775,"<b> ALPHA Program - Brewer High School </b> <br> Address:  261 Center St ,  Brewer ,  Penobscot  County <br> Phone Number:  207-992-2456 <br> Website:  NA"
DFD RUSSELL MEDICAL CENTER - BRIDGTON,25 Hospital Dr,Bridgton,207-647-2311,NA,Cumberland,-70.7152861,44.04618679,-70.7152861,44.04618679,"<b> DFD RUSSELL MEDICAL CENTER - BRIDGTON </b> <br> Address:  25 Hospital Dr ,  Bridgton ,  Cumberland  County <br> Phone Number:  207-647-2311 <br> Website:  NA"
CCS Behavioral at CMCC,1250 Turner St,Auburn,207-755-5100,NA,Androscoggin,-70.2308991,44.13224752,-70.2308991,44.13224752,"<b> CCS Behavioral at CMCC </b> <br> Address:  1250 Turner St ,  Auburn ,  Androscoggin  County <br> Phone Number:  207-755-5100 <br> Website:  NA"
Franklin Towers Health Center,211 Cumberland Ave,Portland,207-874-2141,NA,Cumberland,-70.25612142,43.66155349,-70.25612142,43.66155349,"<b> Franklin Towers Health Center </b> <br> Address:  211 Cumberland Ave ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  NA"
School-Based Health Center-Van Buren,169 Main St,Van Buren,207-834-3971,frrh.org,Aroostook,-67.94111235,47.16071208,-67.94111235,47.16071208,"<b> School-Based Health Center-Van Buren </b> <br> Address:  169 Main St ,  Van Buren ,  Aroostook  County <br> Phone Number:  207-834-3971 <br> Website:  frrh.org"
Downeast School - PCHC Dental,100 Moosehead Blvd,Bangor,207-941-6240,pchc.com,Penobscot,-68.82042797,44.83943431,-68.82042797,44.83943431,"<b> Downeast School - PCHC Dental </b> <br> Address:  100 Moosehead Blvd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-941-6240 <br> Website:  pchc.com"
DFD RUSSELL MEDICAL CENTER - TURNER,7 Main St,Turner,207-524-3501,www.dfdrussell.org,Androscoggin,-70.25973469,44.24458057,-70.25973469,44.24458057,"<b> DFD RUSSELL MEDICAL CENTER - TURNER </b> <br> Address:  7 Main St ,  Turner ,  Androscoggin  County <br> Phone Number:  207-524-3501 <br> Website:  www.dfdrussell.org"
Madawaska Community Health Center,309 Saint Thomas St,Madawaska,207-728-4779,www.frrh.org,Aroostook,-68.32774574,47.35480209,-68.32774574,47.35480209,"<b> Madawaska Community Health Center </b> <br> Address:  309 Saint Thomas St ,  Madawaska ,  Aroostook  County <br> Phone Number:  207-728-4779 <br> Website:  www.frrh.org"
Greater Portland Health Oxford Street,234 Oxford St,Portland,207-874-2141,NA,Cumberland,-70.26139875,43.65919038,-70.26139875,43.65919038,"<b> Greater Portland Health Oxford Street </b> <br> Address:  234 Oxford St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  NA"
REGIONAL MEDICAL CENTER CALAIS,5 Lowell St,Calais,207-454-1491,www.rmcl.org,Washington,-67.27940437,45.18775208,-67.27940437,45.18775208,"<b> REGIONAL MEDICAL CENTER CALAIS </b> <br> Address:  5 Lowell St ,  Calais ,  Washington  County <br> Phone Number:  207-454-1491 <br> Website:  www.rmcl.org"
Katahdin Valley Health Center Island Falls,1300 Crystal Rd,Island Falls,207-538-3700,www.kvhc.org,Aroostook,-68.29277292,46.00677212,-68.29277292,46.00677212,"<b> Katahdin Valley Health Center Island Falls </b> <br> Address:  1300 Crystal Rd ,  Island Falls ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
KVHC Mill Pond Elementary School,147 Hodgdon Mills Rd,Hodgdon,207-538-3700,www.kvhc.org,Aroostook,-67.86282076,46.0568412,-67.86282076,46.0568412,"<b> KVHC Mill Pond Elementary School </b> <br> Address:  147 Hodgdon Mills Rd ,  Hodgdon ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Jackman Community Health Center,376 Main St,Jackman,207-668-4300,http://www.pchcbangor.org,Somerset,-70.25007362,45.62109208,-70.25007362,45.62109208,"<b> Jackman Community Health Center </b> <br> Address:  376 Main St ,  Jackman ,  Somerset  County <br> Phone Number:  207-668-4300 <br> Website:  http://www.pchcbangor.org"
MT. ABRAM REGIONAL HEALTH CENTER,25 Depot St,Kingfield,207-265-4555,www.healthreachchc.org,Franklin,-70.1571609,44.95805404,-70.1571609,44.95805404,"<b> MT. ABRAM REGIONAL HEALTH CENTER </b> <br> Address:  25 Depot St ,  Kingfield ,  Franklin  County <br> Phone Number:  207-265-4555 <br> Website:  www.healthreachchc.org"
HAN Enfield,47 Bridge St,West Enfield,207-794-6700,www.hanfqhc.org,Penobscot,-68.64715358,45.23763313,-68.64715358,45.23763313,"<b> HAN Enfield </b> <br> Address:  47 Bridge St ,  West Enfield ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
VINALHAVEN SCHOOL,22 Arcola Ln,Vinalhaven,207-863-4800,none,Knox,-68.82202791,44.04837635,-68.82202791,44.04837635,"<b> VINALHAVEN SCHOOL </b> <br> Address:  22 Arcola Ln ,  Vinalhaven ,  Knox  County <br> Phone Number:  207-863-4800 <br> Website:  none"
MIGRANT VOUCHER & MOBILE MED VAN CENTRAL & WESTERN,9 Green St,Augusta,207-622-9252,www.mainemigrant.org,Kennebec,-69.77644094,44.31281438,-69.77644094,44.31281438,"<b> MIGRANT VOUCHER & MOBILE MED VAN CENTRAL & WESTERN </b> <br> Address:  9 Green St ,  Augusta ,  Kennebec  County <br> Phone Number:  207-622-9252 <br> Website:  www.mainemigrant.org"
Katahdin Valley Health Center Millinocket,50 Summer St,Millinocket,207-538-3700,www.kvhc.org,Penobscot,-68.70841121,45.65576425,-68.70841121,45.65576425,"<b> Katahdin Valley Health Center Millinocket </b> <br> Address:  50 Summer St ,  Millinocket ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
KVHC Granite Street School,191 Granite St,Millinocket,207-538-3700,www.kvhc.org,Penobscot,-68.70462485,45.65331979,-68.70462485,45.65331979,"<b> KVHC Granite Street School </b> <br> Address:  191 Granite St ,  Millinocket ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
KVHC Medway Middle School,25 School St,Medway,207-538-3700,www.kvhc.org,Penobscot,-68.53030692,45.60865098,-68.53030692,45.60865098,"<b> KVHC Medway Middle School </b> <br> Address:  25 School St ,  Medway ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
RANGELEY FAMILY MEDICINE,42 Dallas Hill Rd,Rangeley,207-864-3303,www.healthreachchc.org,Franklin,-70.63497766,44.95437694,-70.63497766,44.95437694,"<b> RANGELEY FAMILY MEDICINE </b> <br> Address:  42 Dallas Hill Rd ,  Rangeley ,  Franklin  County <br> Phone Number:  207-864-3303 <br> Website:  www.healthreachchc.org"
Greater Portland Health at Harrison Lyseth Elementary School,175 Auburn St,Portland,207-874-8215,NA,Cumberland,-70.28576897,43.70788899,-70.28576897,43.70788899,"<b> Greater Portland Health at Harrison Lyseth Elementary School </b> <br> Address:  175 Auburn St ,  Portland ,  Cumberland  County <br> Phone Number:  207-874-8215 <br> Website:  NA"
HAN MEDWAY,1930 Medway Rd,Medway,207-794-6700,www.hanfqhc.org,Penobscot,-68.52778526,45.61153226,-68.52778526,45.61153226,"<b> HAN MEDWAY </b> <br> Address:  1930 Medway Rd ,  Medway ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
Bucksport Middle School,100 Miles Ln,Bucksport,207-469-7371,NA,Hancock,-68.77557582,44.58087443,-68.77557582,44.58087443,"<b> Bucksport Middle School </b> <br> Address:  100 Miles Ln ,  Bucksport ,  Hancock  County <br> Phone Number:  207-469-7371 <br> Website:  NA"
United Cerebral Palsy of Northeastern Maine,700 Mount Hope Ave Ste 320,Bangor,207-945-5247,NA,Penobscot,-68.73604182,44.82336897,-68.73604182,44.82336897,"<b> United Cerebral Palsy of Northeastern Maine </b> <br> Address:  700 Mount Hope Ave Ste 320 ,  Bangor ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  NA"
Sebasticook Family Doctors d/b/a HOMETOWN Health Center,118 Moosehead Trl Ste 4,Newport,207-368-4213,hhcme.org,Penobscot,-69.28074181,44.84163288,-69.28074181,44.84163288,"<b> Sebasticook Family Doctors d/b/a HOMETOWN Health Center </b> <br> Address:  118 Moosehead Trl Ste 4 ,  Newport ,  Penobscot  County <br> Phone Number:  207-368-4213 <br> Website:  hhcme.org"
KVHC Katahdin Elementary School,805 Station Rd,Stacyville,207-538-3700,www.kvhc.org,Penobscot,-68.438655,45.92549133,-68.438655,45.92549133,"<b> KVHC Katahdin Elementary School </b> <br> Address:  805 Station Rd ,  Stacyville ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
CCS Behavioral at Mollison (Room A),15 Mollison Way,Lewiston,207-777-4440,http://www.stmarysmaine.com/Our-Providers/st-marys-center-for-family-medicine-at-mollison-way.html,Androscoggin,-70.19881343,44.12473327,-70.19881343,44.12473327,"<b> CCS Behavioral at Mollison (Room A) </b> <br> Address:  15 Mollison Way ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-777-4440 <br> Website:  http://www.stmarysmaine.com/Our-Providers/st-marys-center-for-family-medicine-at-mollison-way.html"
Bangor School Department School-Based Health Center,855 Broadway,Bangor,207-404-8000,NA,Penobscot,-68.78434564,44.82880979,-68.78434564,44.82880979,"<b> Bangor School Department School-Based Health Center </b> <br> Address:  855 Broadway ,  Bangor ,  Penobscot  County <br> Phone Number:  207-404-8000 <br> Website:  NA"
PCHC Bridge Clinic,992 Union St STE 3,Bangor,207-992-9200,NA,Penobscot,-68.80749654,44.81485073,-68.80749654,44.81485073,"<b> PCHC Bridge Clinic </b> <br> Address:  992 Union St STE 3 ,  Bangor ,  Penobscot  County <br> Phone Number:  207-992-9200 <br> Website:  NA"
Temporary Site- Calais Blue Devil Health,35 Blue Devil Hl,Calais,207-796-5503,NA,Washington,-67.24301681,45.16445566,-67.24301681,45.16445566,"<b> Temporary Site- Calais Blue Devil Health </b> <br> Address:  35 Blue Devil Hl ,  Calais ,  Washington  County <br> Phone Number:  207-796-5503 <br> Website:  NA"
KVHC Penquis Valley Schools,48 Penquis Dr,Milo,207-538-3700,www.kvhc.org,Piscataquis,-68.99592843,45.25183342,-68.99592843,45.25183342,"<b> KVHC Penquis Valley Schools </b> <br> Address:  48 Penquis Dr ,  Milo ,  Piscataquis  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Brewer Medical Center,735 Wilson St,Brewer,207-945-5247,http://www.pchcbangor.org/index.htm,Penobscot,-68.73044891,44.77427926,-68.73044891,44.77427926,"<b> Brewer Medical Center </b> <br> Address:  735 Wilson St ,  Brewer ,  Penobscot  County <br> Phone Number:  207-945-5247 <br> Website:  http://www.pchcbangor.org/index.htm"
MATINICUS VIA TELEMEDICINE,SUNBEAN DOCKED @ MATINICUS WHF,Matinicus,207-366-3453,none,Knox,-68.88741999,43.86513,-68.88741999,43.86513,"<b> MATINICUS VIA TELEMEDICINE </b> <br> Address:  SUNBEAN DOCKED @ MATINICUS WHF ,  Matinicus ,  Knox  County <br> Phone Number:  207-366-3453 <br> Website:  none"
School Based Health Center Mobile Unit,3 Mountainview Dr,Fort Kent,207-834-3971,www.frrh.org,Aroostook,-68.59172129,47.26810857,-68.59172129,47.26810857,"<b> School Based Health Center Mobile Unit </b> <br> Address:  3 Mountainview Dr ,  Fort Kent ,  Aroostook  County <br> Phone Number:  207-834-3971 <br> Website:  www.frrh.org"
BREWER REHAB & LIVING CENTER,74 Parkway S,Brewer,207-989-7300,NA,Penobscot,-68.75460916,44.78134215,-68.75460916,44.78134215,"<b> BREWER REHAB & LIVING CENTER </b> <br> Address:  74 Parkway S ,  Brewer ,  Penobscot  County <br> Phone Number:  207-989-7300 <br> Website:  NA"
CAPEHART COMMUNITY HEALTH CENTER,86 Davis Rd,Bangor,207-992-2205,NA,Penobscot,-68.82075897,44.84488565,-68.82075897,44.84488565,"<b> CAPEHART COMMUNITY HEALTH CENTER </b> <br> Address:  86 Davis Rd ,  Bangor ,  Penobscot  County <br> Phone Number:  207-992-2205 <br> Website:  NA"
LOVEJOY HEALTH CENTER,7 School St STE 1,Albion,207-437-9388,www.healthreachchc.org,Kennebec,-69.44153664,44.53027188,-69.44153664,44.53027188,"<b> LOVEJOY HEALTH CENTER </b> <br> Address:  7 School St STE 1 ,  Albion ,  Kennebec  County <br> Phone Number:  207-437-9388 <br> Website:  www.healthreachchc.org"
PHILIPS-STRICKLAND HOUSE,21 Boyd St,Bangor,207-941-2820,NA,Penobscot,-68.76253936,44.80431942,-68.76253936,44.80431942,"<b> PHILIPS-STRICKLAND HOUSE </b> <br> Address:  21 Boyd St ,  Bangor ,  Penobscot  County <br> Phone Number:  207-941-2820 <br> Website:  NA"
PINES Presque Isle FAMILY HEALTH CENTER,66 Spruce St STE 4,Presque Isle,207-769-2025,www.pineshealthservices.org,Aroostook,-68.00705295,46.69832389,-68.00705295,46.69832389,"<b> PINES Presque Isle FAMILY HEALTH CENTER </b> <br> Address:  66 Spruce St STE 4 ,  Presque Isle ,  Aroostook  County <br> Phone Number:  207-769-2025 <br> Website:  www.pineshealthservices.org"
Katahdin Valley Health Center Dover,48 E Main St,Dover Foxcroft,207-538-3700,NA,Piscataquis,-69.22891885,45.18387617,-69.22891885,45.18387617,"<b> Katahdin Valley Health Center Dover </b> <br> Address:  48 E Main St ,  Dover Foxcroft ,  Piscataquis  County <br> Phone Number:  207-538-3700 <br> Website:  NA"
