Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Site Add to Scope Date Text,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Health Center Organization Contact Name,Health Center Organization Contact Telephone Number,Health Center Organization Contact Email Address,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-020912,Greater Portland Health at Longfellow Elementary School,432 Stevens Ave,Portland,ME,04103-2607,207-874-8195,,1,2,School,1,Active,,1184165466,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/25/2017,2017/07/25,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.29523381,43.67289882,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-003215,DFD RUSSELL MEDICAL CENTER - LEEDS,180 Church Hill Rd,Leeds,ME,04263-3418,207-524-3501,www.dfdrussell.org,51.5,7,All Other Clinic Types,1,Active,201827,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/04/1975,1975/01/04,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,ME,04263-3418,Gary Rivard,207-524-3501,gary.rivard@dfdrussell.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.13643731,44.30139106,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021007,Greater Portland Health at East End School,195 North St,Portland,ME,04101-2734,207-874-8228,,1,2,School,1,Active,,1912448291,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/15/2017,2017/08/15,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.25391815,43.67108946,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-008838,Maine Avenue Administration/Clinical Center,103 Maine Ave,Bangor,ME,04401-4330,207-945-5247,http://www.pchcbangor.org/,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/29/2009,2009/06/29,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.80773777,44.80125776,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021122,Greater Portland Health at Lincoln Middle School,522 Stevens Ave,Portland,ME,04103-2611,207-874-8145,,1,2,School,1,Active,,1235670522,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.29470248,43.67645153,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030128,School-Based Health Center-Madawaska,353 11th Ave,Madawaska,ME,04756-3004,207-834-3971,frrh.org,4,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/18/2019,2019/12/18,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.33897062,47.33882664,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013481,Winterport Community Health Center,775 N Main St,Winterport,ME,04496-3414,207-992-9200,,45,7,All Other Clinic Types,1,Active,201909,1093136871,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/20/2013,2013/12/20,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.83960334,44.64501904,Y,N,N,23027,Waldo County,Waldo,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-034246,EHC UMM Clinic,39 O Brien Ave,Machias,ME,04654,207-255-0980,,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/09/2022,2022/02/09,Eastport Health Care Inc,30 Boynton St,Eastport,ME,04631-1306,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.45798269,44.7102551,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-012527,Pines Washburn Health Center,1260 Main St,Washburn,ME,04786-3225,207-498-2356,www.pineshealthservices.org,34,7,All Other Clinic Types,1,Active,201870,1922449834,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,04/15/2013,2013/04/15,Pines Health Services,74 Access Hwy,Caribou,ME,04736-3807,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.15705188,46.78802119,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019087,KVHC Katahdin Middle High School,800 Station Rd,Stacyville,ME,04777-4121,207-538-3700,www.kvhc.org,5,2,School,1,Active,,1417407107,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/04/2017,2017/01/04,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.4384939,45.9251711,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018700,Greater Portland Health at King Middle School,92 Deering Ave,Portland,ME,04102-2901,207-874-8140,,22,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/06/2016,2016/10/06,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.2746922,43.65736367,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-032140,Greater Portland Health at Sagamore Village,68 Popham St,Portland,ME,04102-1151,207-874-2141,,20,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/09/2021,2021/03/09,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.32286081,43.67604417,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-032241,Northern Pine Care Estates,35 Ridge Rd,Lee,ME,04455-4418,207-738-4663,http://northernpinescare.com/,5,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/02/2021,2021/04/02,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.29888744,45.39128765,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019318,KVHC Houlton Middle High School,7 Bird St,Houlton,ME,04730-2402,207-538-3700,www.kvhc.org,5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/07/2017,2017/03/07,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.8273286,46.12798261,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005704,MAINE VETERANS CENTER/HOMES,44 Hogan Rd,Bangor,ME,04401-5602,207-942-2333,,38,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.73815272,44.81586842,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-031951,ST CROIX REGIONAL AT CALAIS,5 Lowell St STE 4,Calais,ME,04619-1712,207-796-5503,,16,7,All Other Clinic Types,1,Active,201950,1467573469,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/27/2021,2021/01/27,St Croix Regional Family Health Center,136 Mill St,Princeton,ME,04668-3344,Corinne LaPlant,207-796-5503,claplant@scrfhc.org,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.27966661,45.18792631,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04191,019970,BPS-H80-012474,Nasson Health Care - Springvale,15 Oak St,Springvale,ME,04083-1926,207-324-0546,,48,7,All Other Clinic Types,1,Active,201849,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,03/28/2013,2013/03/28,York County Community Action Corporation,6 Spruce St,Sanford,ME,04073-2917,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,-70.79810073,43.46520092,Y,N,N,23031,York County,York,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-024519,Islands Community Medical Center Annex,25 Medical Center Loop,Vinalhaven,ME,04863-4119,207-863-4109,,48,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/06/2018,2018/08/06,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,ME,04863-4119,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.83106972,44.04608458,Y,N,N,23013,Knox County,Knox,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-024734,Bucksport Regional Health Center- Ellsworth Site,37 Commerce Park,Ellsworth,ME,04605-3383,207-469-7371,,48,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/31/2018,2018/08/31,Bucksport Regional Health Center,110 Broadway,Bucksport,ME,04416-4612,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.43322051,44.5619035,Y,N,N,23009,Hancock County,Hancock,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-032467,The Hutchinson Center,80 Belmont Ave,Belfast,ME,04915-7530,207-338-6900,,8,7,All Other Clinic Types,1,Active,201904,1356683981,1,Permanent,2,Service Delivery Site,3,Contractor,0,Unknown,0,Unknown,05/13/2021,2021/05/13,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.03614807,44.41961382,Y,N,N,23027,Waldo County,Waldo,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031469,Temporary Site - Rodeway Inn,327 Odlin Rd,Bangor,ME,04401-6703,207-620-1406,,40,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/15/2020,2020/10/15,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-68.81166276,44.7891102,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-018697,Greater Portland Health at Portland High School,284 Cumberland Ave,Portland,ME,04101-4927,207-874-8250,,45.5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/06/2016,2016/10/06,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.25896104,43.65915422,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-005361,Katahdin Valley Health Center Patten,30 Houlton St,Patten,ME,04765-3035,207-538-3700,www.kvhc.org,59.5,7,All Other Clinic Types,1,Active,201824,1669450524,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/08/2000,2000/08/08,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.44601238,45.99550319,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00458,011230,BPS-H80-027373,Sacopee Valley School District,115 S Hiram Rd,Hiram,ME,04041-3636,207-625-3208,,6,2,School,1,Active,,,2,Seasonal,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/28/2019,2019/01/28,SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-70.86941471,43.81149912,Y,N,N,23017,Oxford County,Oxford,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021125,Greater Portland Health at Riverton Elementary School,1600 Forest Ave,Portland,ME,04103-1314,207-874-8210,,1,2,School,1,Active,,1831644731,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.30763014,43.69723299,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021643,KVHC East Millinocket Schools,45 North St # 1,East Millinocket,ME,04430-1150,207-538-3700,www.kvhc.org,5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/17/2018,2018/01/17,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.57173774,45.63168321,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017570,CCS Behavioral at Ren School,15 Sacred Heart Pl RM A,Auburn,ME,04210-4938,207-777-4175,http://www.stmarysmaine.com/Departments-Services/renaissance-school.html,4,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,02/03/2016,2016/02/03,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.23526615,44.08926382,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-003608,RICHMOND AREA HEALTH CENTER,24 Gardiner St,Richmond,ME,04357-1336,207-737-4359,www.healthreachchc.org,49,7,All Other Clinic Types,1,Active,201806,1164496410,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/1977,1977/01/01,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.80575221,44.08612761,Y,N,N,23023,Sagadahoc County,Sagadahoc,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-007472,Mattanawcook Academy School Based Health Center,15 Reed Dr,Lincoln,ME,04457-1713,207-794-6700,www.hanfqhc.org,25,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,09/01/2006,2006/09/01,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.49910736,45.37845576,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031467,Temorary Site - Quality Inn Bangor Airport,250 Odlin Rd,Bangor,ME,04401-6704,207-620-1406,,40,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/15/2020,2020/10/15,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-68.81008118,44.79159623,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021123,Greater Portland Health at Fred P. Hall Elementary School,23 Orono Rd,Portland,ME,04102-1106,207-874-8205,,1,2,School,1,Active,,1275074551,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/14/2017,2017/09/14,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.31716615,43.67846067,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-000120,Sebasticook Family Doctors - Dexter,29 Church St,Dexter,ME,04930-1320,207-924-5200,www.hhcme.org,52,7,All Other Clinic Types,1,Active,201843,1811223837,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/07/2001,2001/01/07,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,ME,04953-4056,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.28846682,45.02550828,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-031112,RSU19,291 Williams Rd,Newport,ME,04953-3945,207-368-4213,www.hhcme.org,16,2,School,1,Active,201947,1023621273,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/03/2020,2020/08/03,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,ME,04953-4056,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.29301132,44.88105058,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013878,Seaport Community Health Center,53 Schoodic Dr,Belfast,ME,04915-7246,207-338-6900,,72,7,All Other Clinic Types,1,Active,201905,1023458320,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/22/2014,2014/05/22,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.02348377,44.41865594,Y,N,N,23027,Waldo County,Waldo,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-017491,South Portland Community Health Center,100 Brickhill Ave,South Portland,ME,04106-1999,207-874-2141 x5028,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/08/2016,2016/01/08,Portland Community Health Center,180 Park Ave STE 1,Portland,ME,04102-2927,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,-70.30812945,43.63777592,N,N,N,23005,Cumberland County,Cumberland,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005796,WOODLANDS ASSISTED LIVING BREWER,53 Colonial Cir,Brewer,ME,04412-1448,207-989-7577,,14,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/03/2006,2006/01/03,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.74908197,44.78868302,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-034164,Katahdin Valley Health NH Millinocket,22 Walnut St,Millinocket,ME,04462-2128,207-538-3700,www.kvhc.org,8,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,01/26/2022,2022/01/26,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.69437664,45.65683017,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
